MaPhieu,ThoiDiemOnline,ThoiGianOnline
004538,10:46:00,00:10:00
004539,21:24:00,01:12:00
004540,16:01:00,01:12:00
004541,21:18:00,00:51:00
004542,12:18:00,01:14:00
004543,20:26:00,01:32:00
004544,16:21:00,00:34:00
004545,15:44:00,01:27:00
004546,12:44:00,00:33:00
004547,15:15:00,00:41:00
004548,09:44:00,01:26:00
004549,20:12:00,01:45:00
004550,21:53:00,00:42:00
004551,14:55:00,00:22:00
004552,12:04:00,01:01:00
004553,21:57:00,01:16:00
004554,14:27:00,01:05:00
004555,12:49:00,01:15:00
004556,11:54:00,00:34:00
004557,17:18:00,00:18:00
004558,11:02:00,01:24:00
004559,10:24:00,00:19:00
004560,13:22:00,01:39:00
004561,11:55:00,00:51:00
004562,11:23:00,00:48:00
004563,16:51:00,01:12:00
004564,14:14:00,00:55:00
004565,18:55:00,00:22:00
004566,18:19:00,00:10:00
004567,11:44:00,00:41:00
004568,14:28:00,00:50:00
004569,13:35:00,01:57:00
004570,09:57:00,01:12:00
004571,11:42:00,00:36:00
004572,18:06:00,00:18:00
004573,12:25:00,01:14:00
004574,18:50:00,00:15:00
004575,18:06:00,01:06:00
004576,14:30:00,00:24:00
004577,19:10:00,01:49:00
004578,19:35:00,01:34:00
004579,20:20:00,00:32:00
004580,14:47:00,01:30:00
004581,18:24:00,00:12:00
004582,15:55:00,01:09:00
004583,20:53:00,01:32:00
004584,14:25:00,00:31:00
004585,15:21:00,00:35:00
004586,10:14:00,00:18:00
004587,10:15:00,01:13:00
004588,21:41:00,01:11:00
004589,13:32:00,01:20:00
004590,14:46:00,00:55:00
004591,09:47:00,01:37:00
004592,19:28:00,00:22:00
004593,16:55:00,00:19:00
004594,10:24:00,01:25:00
004595,11:15:00,01:33:00
004596,17:60:00,00:05:00
004597,21:59:00,00:46:00
004598,18:20:00,00:39:00
004599,12:28:00,01:21:00
004600,13:04:00,00:03:00
004601,15:36:00,00:33:00
004602,20:02:00,00:06:00
004603,11:60:00,00:47:00
004604,12:21:00,01:15:00
004605,17:19:00,00:28:00
004606,14:42:00,01:38:00
004607,16:45:00,00:42:00
004608,09:10:00,01:05:00
004609,12:06:00,01:03:00
004610,11:24:00,00:29:00
004611,12:40:00,00:10:00
004612,18:10:00,01:48:00
004613,10:30:00,01:44:00
004614,11:12:00,01:25:00
004615,16:23:00,00:32:00
004616,20:02:00,01:45:00
004617,09:11:00,00:04:00
004618,12:24:00,00:28:00
004619,15:24:00,01:45:00
004620,10:04:00,00:11:00
004621,15:15:00,00:02:00
004622,21:07:00,00:45:00
004623,21:39:00,01:06:00
004624,19:11:00,01:31:00
004625,18:02:00,01:44:00
004626,13:10:00,00:39:00
004627,20:23:00,00:45:00
004628,16:02:00,00:27:00
004629,18:23:00,00:09:00
004630,16:32:00,01:30:00
004631,16:22:00,00:15:00
004632,19:54:00,00:58:00
004633,12:57:00,01:15:00
004634,19:17:00,01:03:00
004635,11:05:00,01:48:00
004636,11:51:00,00:47:00
004637,20:44:00,01:03:00
004638,17:37:00,00:13:00
004639,21:14:00,01:53:00
004640,17:31:00,00:51:00
004641,16:60:00,01:48:00
004642,14:39:00,00:46:00
004643,20:27:00,01:08:00
004644,18:13:00,01:45:00
004645,10:08:00,01:49:00
004646,20:21:00,00:05:00
004647,14:30:00,01:24:00
004648,17:42:00,00:27:00
004649,21:44:00,00:15:00
004650,18:23:00,00:32:00
004651,18:03:00,00:48:00
004652,16:60:00,01:54:00
004653,11:24:00,01:50:00
004654,17:37:00,01:11:00
004655,12:02:00,01:54:00
004656,14:37:00,00:19:00
004657,13:26:00,01:03:00
004658,09:37:00,01:55:00
004659,19:44:00,00:14:00
004660,16:30:00,00:26:00
004661,10:56:00,00:52:00
004662,11:07:00,01:33:00
004663,18:23:00,01:52:00
004664,14:14:00,00:48:00
004665,18:30:00,00:12:00
004666,15:59:00,00:34:00
004667,14:23:00,00:51:00
004668,11:14:00,00:30:00
004669,16:43:00,00:59:00
004670,12:16:00,00:31:00
004671,19:51:00,01:38:00
004672,14:54:00,00:25:00
004673,21:42:00,00:51:00
004674,17:10:00,00:36:00
004675,20:14:00,01:54:00
004676,11:04:00,01:20:00
004677,19:47:00,01:17:00
004678,20:30:00,00:26:00
004679,15:19:00,00:16:00
004680,20:59:00,01:23:00
004681,20:57:00,00:20:00
004682,18:17:00,00:11:00
004683,13:09:00,01:12:00
004684,20:17:00,00:22:00
004685,09:11:00,01:00:00
004686,17:49:00,01:48:00
004687,09:14:00,00:16:00
004688,15:00:00,00:56:00
004689,21:05:00,01:26:00
004690,17:33:00,00:25:00
004691,17:19:00,01:00:00
004692,09:09:00,01:54:00
004693,11:03:00,00:20:00
004694,13:34:00,00:35:00
004695,14:05:00,01:46:00
004696,09:34:00,00:12:00
004697,16:34:00,01:08:00
004698,13:58:00,00:59:00
004699,15:43:00,00:16:00
004700,21:52:00,00:31:00
004701,16:58:00,01:25:00
004702,17:01:00,01:10:00
004703,10:03:00,00:10:00
004704,20:00:00,01:40:00
004705,11:55:00,00:12:00
004706,17:26:00,00:13:00
004707,20:48:00,01:56:00
004708,15:20:00,01:09:00
004709,11:34:00,00:41:00
004710,19:21:00,00:08:00
004711,17:53:00,01:29:00
004712,16:39:00,01:51:00
004713,13:40:00,00:23:00
004714,13:46:00,00:34:00
004715,11:31:00,01:25:00
004716,09:30:00,00:47:00
004717,19:19:00,00:22:00
004718,17:52:00,01:23:00
004719,18:14:00,00:10:00
004720,21:05:00,01:37:00
004721,21:50:00,00:15:00
004722,12:16:00,00:58:00
004723,18:18:00,00:39:00
004724,16:11:00,01:03:00
004725,14:26:00,00:55:00
004726,15:09:00,00:25:00
004727,20:51:00,00:13:00
004728,19:08:00,00:43:00
004729,20:23:00,00:51:00
004730,12:09:00,00:51:00
004731,09:15:00,00:29:00
004732,09:13:00,01:52:00
004733,16:46:00,01:31:00
004734,20:41:00,01:54:00
004735,17:37:00,00:22:00
004736,10:20:00,00:23:00
004737,19:34:00,01:17:00
004738,10:41:00,01:44:00
004739,19:25:00,01:39:00
004740,13:58:00,00:45:00
004741,11:20:00,00:43:00
004742,18:20:00,01:34:00
004743,13:30:00,00:01:00
004744,16:46:00,00:07:00
004745,21:12:00,01:53:00
004746,21:12:00,00:54:00
004747,13:26:00,00:07:00
004748,12:20:00,01:15:00
004749,20:46:00,00:11:00
004750,16:31:00,01:12:00
004751,17:24:00,01:24:00
004752,21:50:00,00:33:00
004753,13:18:00,00:31:00
004754,13:58:00,01:09:00
004755,21:36:00,00:52:00
004756,18:06:00,01:45:00
004757,09:59:00,01:30:00
004758,10:42:00,01:12:00
004759,10:26:00,00:10:00
004760,18:45:00,01:41:00
004761,18:09:00,00:40:00
004762,12:46:00,01:45:00
004763,17:36:00,01:29:00
004764,20:04:00,00:40:00
004765,10:10:00,01:00:00
004766,21:44:00,01:15:00
004767,14:02:00,00:58:00
004768,13:06:00,00:58:00
004769,14:14:00,00:22:00
004770,09:55:00,01:04:00
004771,17:09:00,01:19:00
004772,16:19:00,01:22:00
004773,11:36:00,00:03:00
004774,15:21:00,00:06:00
004775,19:09:00,01:21:00
004776,21:35:00,00:10:00
004777,12:01:00,01:55:00
004778,10:13:00,01:26:00
004779,12:30:00,00:47:00
004780,21:55:00,00:59:00
004781,14:29:00,00:54:00
004782,15:02:00,00:46:00
004783,19:16:00,00:45:00
004784,17:39:00,01:08:00
004785,19:18:00,01:39:00
004786,09:33:00,00:43:00
004787,21:23:00,01:34:00
004788,11:44:00,01:36:00
004789,14:52:00,00:22:00
004790,09:12:00,00:56:00
004791,17:45:00,00:55:00
004792,20:44:00,01:47:00
004793,11:33:00,00:11:00
004794,10:26:00,00:31:00
004795,17:09:00,00:56:00
004796,12:23:00,01:11:00
004797,21:50:00,01:08:00
004798,17:13:00,01:06:00
004799,17:10:00,01:06:00
004800,13:02:00,01:41:00
004801,21:05:00,01:18:00
004802,14:03:00,01:42:00
004803,19:47:00,00:28:00
004804,13:58:00,00:03:00
004805,16:45:00,01:48:00
004806,12:24:00,00:31:00
004807,16:59:00,01:38:00
004808,11:17:00,00:09:00
004809,11:04:00,00:16:00
004810,09:20:00,00:12:00
004811,10:43:00,01:58:00
004812,10:06:00,01:03:00
004813,20:13:00,01:02:00
004814,19:59:00,01:20:00
004815,15:53:00,00:35:00
004816,18:49:00,00:06:00
004817,15:51:00,00:13:00
004818,17:13:00,01:03:00
004819,10:11:00,00:52:00
004820,11:52:00,00:16:00
004821,21:31:00,00:23:00
004822,10:18:00,01:55:00
004823,10:01:00,00:00:00
004824,14:42:00,00:26:00
004825,16:51:00,01:22:00
004826,19:43:00,01:25:00
004827,11:27:00,01:09:00
004828,19:34:00,01:06:00
004829,14:36:00,01:46:00
004830,15:36:00,01:14:00
004831,11:10:00,01:06:00
004832,18:21:00,01:51:00
004833,11:17:00,00:23:00
004834,18:39:00,01:37:00
004835,19:48:00,01:06:00
004836,13:42:00,00:57:00
004837,13:48:00,00:55:00
004838,12:54:00,00:05:00
004839,15:13:00,00:32:00
004840,10:58:00,00:33:00
004841,12:48:00,01:07:00
004842,13:26:00,01:47:00
004843,15:56:00,00:17:00
004844,17:11:00,01:14:00
004845,16:17:00,00:49:00
004846,12:36:00,00:57:00
004847,16:04:00,01:21:00
004848,20:14:00,01:47:00
004849,17:26:00,00:57:00
004850,09:15:00,01:60:00
004851,21:30:00,01:13:00
004852,19:36:00,00:33:00
004853,20:28:00,00:14:00
004854,09:14:00,01:39:00
004855,19:49:00,01:03:00
004856,13:50:00,00:29:00
004857,17:34:00,00:02:00
004858,14:23:00,01:47:00
004859,12:29:00,01:03:00
004860,19:49:00,00:47:00
004861,18:06:00,00:48:00
004862,09:58:00,00:45:00
004863,20:16:00,00:25:00
004864,16:08:00,01:01:00
004865,11:00:00,00:19:00
004866,21:35:00,01:41:00
004867,20:08:00,01:20:00
004868,18:26:00,00:02:00
004869,19:35:00,01:57:00
004870,16:37:00,00:56:00
004871,20:02:00,00:26:00
004872,17:05:00,01:06:00
004873,17:31:00,00:24:00
004874,14:34:00,01:58:00
004875,12:11:00,00:29:00
004876,17:48:00,00:42:00
004877,14:55:00,00:28:00
004878,15:55:00,01:13:00
004879,09:17:00,01:16:00
004880,16:50:00,00:07:00
004881,14:11:00,01:11:00
004882,12:59:00,01:60:00
004883,19:49:00,00:50:00
004884,14:06:00,00:33:00
004885,10:07:00,00:25:00
004886,17:06:00,00:46:00
004887,11:05:00,00:20:00
004888,11:37:00,00:09:00
004889,16:13:00,01:35:00
004890,11:33:00,01:31:00
004891,11:32:00,01:15:00
004892,20:38:00,01:36:00
004893,19:29:00,00:02:00
004894,19:48:00,00:49:00
004895,15:23:00,01:00:00
004896,16:41:00,01:53:00
004897,16:20:00,01:31:00
004898,20:41:00,01:46:00
004899,16:17:00,00:07:00
004900,13:54:00,00:55:00
004901,14:44:00,00:10:00
004902,17:60:00,01:52:00
004903,14:07:00,01:22:00
004904,13:39:00,00:08:00
004905,09:18:00,00:32:00
004906,17:44:00,00:44:00
004907,10:15:00,01:57:00
004908,17:28:00,00:48:00
004909,15:28:00,00:56:00
004910,14:59:00,00:33:00
004911,10:21:00,00:59:00
004912,10:37:00,00:27:00
004913,14:43:00,00:29:00
004914,10:35:00,01:35:00
004915,13:24:00,00:14:00
004916,17:06:00,01:45:00
004917,09:44:00,01:08:00
004918,14:22:00,00:48:00
004919,21:03:00,01:20:00
004920,13:36:00,00:50:00
004921,18:17:00,00:50:00
004922,11:32:00,00:53:00
004923,17:36:00,00:51:00
004924,21:46:00,00:51:00
004925,13:01:00,00:45:00
004926,18:36:00,00:27:00
004927,12:25:00,01:35:00
004928,20:41:00,00:04:00
004929,14:04:00,00:13:00
004930,17:23:00,01:54:00
004931,18:36:00,01:24:00
004932,15:35:00,01:45:00
004933,16:25:00,00:32:00
004934,21:31:00,00:31:00
004935,12:32:00,00:42:00
004936,20:57:00,00:03:00
004937,16:24:00,00:31:00
004938,20:24:00,01:17:00
004939,15:12:00,00:49:00
004940,18:35:00,00:28:00
004941,17:55:00,01:40:00
004942,17:45:00,01:00:00
004943,13:20:00,00:04:00
004944,10:33:00,01:01:00
004945,12:20:00,00:45:00
004946,17:19:00,01:49:00
004947,16:51:00,00:07:00
004948,11:45:00,01:04:00
004949,16:46:00,01:37:00
004950,21:42:00,01:24:00
004951,20:48:00,00:41:00
004952,17:49:00,01:29:00
004953,12:21:00,00:48:00
004954,09:25:00,01:31:00
004955,10:30:00,01:48:00
004956,14:24:00,01:15:00
004957,18:36:00,00:21:00
004958,14:59:00,00:55:00
004959,17:34:00,00:19:00
004960,17:46:00,01:25:00
004961,09:50:00,00:42:00
004962,15:33:00,00:03:00
004963,21:29:00,01:38:00
004964,15:35:00,01:48:00
004965,09:53:00,00:36:00
004966,19:50:00,00:10:00
004967,13:42:00,00:05:00
004968,10:09:00,01:44:00
004969,15:50:00,01:48:00
004970,19:45:00,01:44:00
004971,16:56:00,01:52:00
004972,20:13:00,00:32:00
004973,18:48:00,01:55:00
004974,11:37:00,00:28:00
004975,14:19:00,01:36:00
004976,19:00:00,00:24:00
004977,19:58:00,01:43:00
004978,16:48:00,01:13:00
004979,15:27:00,01:41:00
004980,16:48:00,00:58:00
004981,19:27:00,01:46:00
004982,20:01:00,01:18:00
004983,10:36:00,00:59:00
004984,18:59:00,01:50:00
004985,13:04:00,00:09:00
004986,21:00:00,00:07:00
004987,10:00:00,01:01:00
004988,11:36:00,00:22:00
004989,10:01:00,00:51:00
004990,09:20:00,00:35:00
004991,13:56:00,00:10:00
004992,21:08:00,00:51:00
004993,10:28:00,01:46:00
004994,10:47:00,00:27:00
004995,20:11:00,00:51:00
004996,19:39:00,00:24:00
004997,17:02:00,01:43:00
004998,19:33:00,01:11:00
004999,20:28:00,01:43:00
005000,14:31:00,01:08:00
005001,14:29:00,00:18:00
005002,21:10:00,01:03:00
005003,17:23:00,01:49:00
005004,14:49:00,01:07:00
005005,20:59:00,01:60:00
005006,14:32:00,00:21:00
005007,14:29:00,01:14:00
005008,10:13:00,00:40:00
005009,15:51:00,01:08:00
005010,19:04:00,00:15:00
005011,17:00:00,00:33:00
005012,12:21:00,01:46:00
005013,10:41:00,01:13:00
005014,14:58:00,01:17:00
005015,20:33:00,00:58:00
005016,20:56:00,00:18:00
005017,17:05:00,01:58:00
005018,20:29:00,00:45:00
005019,13:57:00,01:09:00
005020,19:26:00,00:57:00
005021,13:48:00,01:21:00
005022,19:53:00,00:26:00
005023,15:49:00,00:59:00
005024,16:17:00,01:27:00
005025,10:37:00,01:44:00
005026,16:30:00,01:58:00
005027,15:03:00,00:52:00
005028,11:23:00,01:21:00
005029,19:35:00,01:52:00
005030,17:60:00,01:37:00
005031,14:39:00,01:37:00
005032,10:15:00,00:51:00
005033,20:53:00,00:16:00
005034,09:51:00,00:49:00
005035,21:18:00,00:19:00
005036,09:31:00,01:39:00
005037,20:58:00,01:16:00
005038,15:37:00,01:14:00
005039,11:19:00,00:10:00
005040,12:14:00,01:23:00
005041,13:25:00,00:13:00
005042,20:04:00,01:07:00
005043,09:58:00,01:35:00
005044,17:29:00,01:00:00
005045,17:50:00,00:17:00
005046,12:52:00,00:34:00
005047,16:11:00,00:03:00
005048,13:28:00,00:38:00
005049,17:41:00,01:54:00
005050,10:32:00,01:21:00
005051,12:07:00,00:23:00
005052,15:37:00,00:58:00
005053,18:31:00,00:44:00
005054,21:47:00,01:18:00
005055,18:18:00,01:19:00
005056,14:58:00,01:14:00
005057,12:13:00,01:42:00
005058,21:47:00,01:06:00
005059,18:21:00,01:41:00
005060,18:36:00,01:45:00
005061,21:03:00,01:17:00
005062,09:19:00,01:56:00
005063,13:54:00,01:34:00
005064,17:11:00,00:43:00
005065,16:36:00,00:06:00
005066,09:48:00,00:17:00
005067,11:43:00,01:07:00
005068,18:45:00,00:24:00
005069,17:45:00,00:38:00
005070,09:30:00,00:37:00
005071,20:28:00,01:37:00
005072,17:09:00,00:28:00
005073,19:34:00,01:33:00
005074,15:10:00,01:37:00
005075,21:53:00,00:13:00
005076,10:36:00,01:53:00
005077,14:41:00,01:43:00
005078,10:21:00,00:27:00
005079,21:11:00,00:44:00
005080,11:21:00,00:32:00
005081,18:58:00,00:10:00
005082,14:37:00,00:38:00
005083,15:41:00,01:02:00
005084,15:59:00,00:12:00
005085,13:00:00,00:34:00
005086,16:00:00,01:33:00
005087,20:10:00,01:05:00
005088,16:29:00,01:50:00
005089,13:09:00,01:14:00
005090,19:10:00,01:52:00
005091,11:03:00,01:31:00
005092,20:28:00,01:54:00
005093,18:26:00,00:49:00
005094,20:49:00,00:37:00
005095,14:11:00,01:26:00
005096,17:28:00,00:56:00
005097,19:17:00,01:46:00
005098,10:14:00,01:01:00
005099,21:28:00,01:51:00
005100,20:08:00,01:23:00
005101,16:08:00,00:25:00
005102,09:38:00,00:07:00
005103,20:36:00,01:24:00
005104,17:22:00,01:36:00
005105,16:13:00,01:29:00
005106,14:41:00,01:22:00
005107,17:28:00,01:43:00
005108,09:60:00,01:26:00
005109,17:05:00,01:13:00
005110,15:52:00,00:05:00
005111,19:07:00,00:34:00
005112,15:46:00,01:08:00
005113,21:44:00,00:60:00
005114,13:51:00,01:11:00
005115,20:47:00,00:21:00
005116,18:56:00,00:48:00
005117,18:59:00,00:39:00
005118,13:15:00,00:35:00
005119,11:20:00,01:35:00
005120,10:34:00,01:01:00
005121,09:00:00,01:01:00
005122,20:15:00,00:01:00
005123,20:60:00,00:26:00
005124,16:36:00,01:28:00
005125,15:19:00,00:52:00
005126,14:02:00,01:21:00
005127,16:40:00,01:00:00
005128,17:19:00,00:03:00
005129,14:37:00,01:12:00
005130,20:35:00,01:38:00
005131,18:01:00,01:29:00
005132,13:02:00,00:28:00
005133,12:34:00,01:50:00
005134,19:50:00,00:35:00
005135,16:20:00,00:39:00
005136,20:37:00,00:35:00
005137,09:13:00,00:53:00
005138,16:45:00,00:04:00
005139,12:57:00,01:08:00
005140,09:11:00,00:45:00
005141,10:12:00,00:11:00
005142,09:26:00,01:31:00
005143,13:36:00,00:27:00
005144,19:13:00,01:19:00
005145,11:17:00,01:52:00
005146,17:36:00,01:10:00
005147,09:53:00,01:31:00
005148,10:42:00,00:54:00
005149,14:01:00,01:45:00
005150,18:36:00,00:32:00
005151,12:15:00,00:22:00
005152,17:05:00,00:59:00
005153,18:18:00,01:60:00
005154,09:08:00,01:19:00
005155,12:33:00,00:09:00
005156,21:10:00,01:32:00
005157,21:32:00,00:17:00
005158,14:43:00,00:08:00
005159,20:18:00,00:57:00
005160,20:55:00,01:34:00
005161,15:33:00,01:36:00
005162,16:15:00,01:44:00
005163,11:22:00,00:41:00
005164,17:10:00,00:57:00
005165,17:43:00,00:39:00
005166,11:49:00,01:50:00
005167,12:08:00,01:07:00
005168,13:60:00,01:50:00
005169,16:46:00,01:36:00
005170,14:00:00,00:60:00
005171,12:47:00,01:59:00
005172,20:31:00,01:01:00
005173,09:07:00,00:60:00
005174,17:20:00,01:24:00
005175,10:08:00,00:14:00
005176,11:58:00,00:25:00
005177,11:17:00,01:08:00
005178,10:12:00,01:60:00
005179,18:05:00,01:44:00
005180,14:28:00,01:41:00
005181,21:05:00,00:10:00
005182,19:10:00,00:30:00
005183,11:33:00,00:60:00
005184,18:48:00,00:12:00
005185,13:49:00,01:40:00
005186,18:40:00,01:34:00
005187,12:47:00,00:56:00
005188,14:57:00,00:34:00
005189,18:33:00,01:07:00
005190,11:13:00,00:41:00
005191,10:15:00,01:12:00
005192,13:19:00,01:19:00
005193,17:11:00,01:14:00
005194,18:05:00,00:09:00
005195,10:48:00,00:51:00
005196,12:04:00,00:03:00
005197,12:11:00,01:58:00
005198,11:42:00,01:56:00
005199,20:23:00,00:06:00
005200,14:34:00,01:23:00
005201,19:02:00,01:47:00
005202,09:15:00,00:53:00
005203,21:35:00,01:07:00
005204,18:37:00,00:05:00
005205,11:23:00,00:45:00
005206,11:52:00,00:34:00
005207,20:27:00,00:56:00
005208,09:03:00,00:10:00
005209,18:44:00,00:55:00
005210,17:33:00,01:16:00
005211,10:56:00,00:23:00
005212,16:01:00,00:28:00
005213,21:48:00,01:52:00
005214,20:34:00,00:44:00
005215,19:24:00,00:25:00
005216,12:38:00,00:16:00
005217,14:31:00,01:19:00
005218,19:08:00,01:21:00
005219,14:44:00,00:03:00
005220,10:60:00,01:52:00
005221,10:31:00,00:32:00
005222,13:15:00,00:02:00
005223,18:03:00,00:11:00
005224,09:13:00,00:40:00
005225,15:46:00,00:29:00
005226,12:32:00,01:54:00
005227,18:48:00,00:00:00
005228,15:13:00,00:09:00
005229,15:23:00,00:22:00
005230,21:18:00,01:54:00
005231,10:26:00,00:33:00
005232,12:52:00,01:08:00
005233,14:52:00,00:32:00
005234,10:55:00,01:10:00
005235,15:27:00,00:53:00
005236,21:59:00,00:10:00
005237,09:51:00,01:42:00
005238,20:12:00,00:01:00
005239,21:11:00,01:36:00
005240,20:15:00,00:33:00
005241,13:15:00,00:36:00
005242,09:14:00,01:17:00
005243,13:39:00,01:03:00
005244,12:60:00,01:53:00
005245,16:20:00,00:07:00
005246,11:02:00,00:59:00
005247,09:05:00,00:23:00
005248,14:03:00,00:18:00
005249,20:51:00,00:14:00
005250,21:33:00,01:26:00
005251,10:43:00,01:19:00
005252,13:10:00,00:34:00
005253,15:55:00,00:00:00
005254,13:26:00,00:09:00
005255,18:01:00,01:25:00
005256,17:52:00,00:01:00
005257,18:20:00,01:41:00
005258,17:18:00,00:05:00
005259,12:46:00,00:00:00
005260,16:02:00,01:47:00
005261,20:43:00,01:58:00
005262,11:38:00,01:08:00
005263,12:42:00,01:47:00
005264,17:35:00,01:21:00
005265,21:09:00,01:55:00
005266,18:52:00,00:51:00
005267,12:37:00,00:23:00
005268,19:38:00,00:27:00
005269,21:27:00,01:49:00
005270,20:44:00,00:23:00
005271,21:32:00,01:52:00
005272,09:60:00,01:37:00
005273,09:58:00,01:42:00
005274,21:47:00,01:26:00
005275,14:48:00,01:16:00
005276,20:10:00,01:15:00
005277,17:41:00,01:28:00
005278,18:13:00,01:50:00
005279,19:09:00,01:06:00
005280,21:47:00,00:51:00
005281,10:50:00,00:31:00
005282,19:47:00,01:26:00
005283,17:42:00,00:13:00
005284,15:46:00,01:32:00
005285,09:49:00,00:00:00
005286,10:60:00,01:40:00
005287,18:16:00,01:20:00
005288,20:45:00,01:32:00
005289,17:43:00,01:39:00
005290,11:23:00,01:00:00
005291,10:46:00,01:18:00
005292,13:47:00,01:58:00
005293,19:03:00,00:44:00
005294,13:14:00,00:56:00
005295,15:00:00,01:22:00
005296,21:08:00,01:09:00
005297,19:35:00,01:49:00
005298,13:59:00,01:06:00
005299,12:14:00,01:07:00
005300,14:15:00,00:18:00
005301,11:43:00,00:50:00
005302,14:11:00,00:24:00
005303,14:57:00,01:13:00
005304,09:25:00,01:14:00
005305,19:03:00,01:07:00
005306,17:05:00,01:44:00
005307,12:28:00,00:36:00
005308,12:03:00,01:54:00
005309,16:03:00,00:39:00
005310,14:05:00,01:40:00
005311,10:48:00,00:23:00
005312,11:04:00,01:00:00
005313,20:55:00,01:45:00
005314,15:46:00,01:26:00
005315,20:28:00,00:47:00
005316,10:22:00,01:29:00
005317,14:17:00,01:17:00
005318,17:24:00,00:12:00
005319,14:50:00,01:49:00
005320,20:15:00,00:48:00
005321,19:24:00,01:29:00
005322,17:40:00,01:29:00
005323,19:46:00,00:15:00
005324,12:52:00,00:54:00
005325,11:46:00,00:34:00
005326,09:42:00,01:42:00
005327,15:07:00,01:37:00
005328,18:02:00,00:23:00
005329,18:40:00,01:02:00
005330,20:27:00,01:52:00
005331,09:14:00,01:49:00
005332,20:05:00,01:15:00
005333,19:05:00,00:37:00
005334,14:01:00,01:44:00
005335,12:14:00,00:11:00
005336,10:00:00,00:06:00
005337,10:19:00,00:23:00
005338,16:30:00,01:53:00
005339,11:15:00,01:13:00
005340,16:23:00,01:48:00
005341,16:34:00,00:03:00
005342,19:56:00,00:44:00
005343,13:60:00,00:20:00
005344,13:58:00,00:13:00
005345,21:02:00,01:04:00
005346,15:03:00,00:52:00
005347,18:56:00,01:47:00
005348,18:16:00,00:23:00
005349,17:28:00,01:60:00
005350,11:57:00,01:04:00
005351,15:36:00,01:39:00
005352,17:58:00,00:27:00
005353,09:33:00,01:24:00
005354,10:53:00,00:54:00
005355,17:35:00,00:00:00
005356,12:32:00,00:60:00
005357,21:11:00,00:28:00
005358,18:17:00,01:49:00
005359,12:24:00,01:26:00
005360,14:49:00,01:46:00
005361,11:39:00,01:22:00
005362,12:02:00,00:30:00
005363,13:39:00,01:60:00
005364,21:16:00,00:41:00
005365,12:01:00,00:16:00
005366,15:08:00,01:56:00
005367,21:01:00,01:46:00
005368,09:45:00,00:41:00
005369,11:36:00,01:01:00
005370,15:44:00,01:02:00
005371,13:15:00,01:33:00
005372,14:37:00,01:07:00
