MaPhieu,KhuVuc,SoLuongKhach,GioDen,GhiChu
002320,1,2,11:30:00,
002321,2,10,19:40:00,
002322,2,5,20:22:00,
002323,3,7,17:46:00,
002324,2,7,10:50:00,
002325,1,3,18:19:00,
002326,3,7,20:02:00,
002327,3,2,21:16:00,
002328,3,11,18:11:00,
002329,3,5,12:40:00,
002330,3,4,13:35:00,
002331,2,9,12:44:00,
002332,1,5,19:40:00,
002333,2,2,21:32:00,
002334,1,7,09:43:00,
002335,2,8,13:42:00,
002336,3,6,19:34:00,
002337,3,7,09:39:00,
002338,1,5,13:07:00,
002339,1,10,13:50:00,
002340,1,5,13:14:00,
002341,3,9,16:02:00,
002342,2,6,15:28:00,
002343,2,5,13:11:00,
002344,1,2,12:18:00,
002345,1,8,20:39:00,
002346,2,5,17:41:00,
002347,2,5,19:20:00,
002348,1,3,16:20:00,
002349,3,2,13:10:00,
002350,1,7,14:00:00,
002351,1,7,20:19:00,
002352,3,6,10:39:00,
002353,1,2,13:44:00,
002354,2,11,20:45:00,
002355,2,2,10:15:00,
002356,3,7,11:26:00,
002357,3,10,15:27:00,
002358,3,10,10:40:00,
002359,1,2,10:41:00,
002360,1,9,20:01:00,
002361,2,10,12:17:00,
002362,1,2,18:21:00,
002363,2,6,19:21:00,
002364,1,11,18:10:00,
002365,3,4,16:35:00,
002366,1,2,12:14:00,
002367,1,5,20:33:00,
002368,2,7,10:27:00,
002369,3,9,15:15:00,
002370,1,7,12:34:00,
002371,2,8,20:01:00,
002372,1,10,11:18:00,
002373,1,11,19:26:00,
002374,2,3,21:31:00,
002375,3,8,10:32:00,
002376,3,7,10:36:00,
002377,2,11,18:37:00,
002378,2,8,17:16:00,
002379,3,11,17:42:00,
002380,1,11,10:23:00,
002381,1,3,10:25:00,
002382,2,2,14:30:00,
002383,3,2,11:09:00,
002384,2,3,14:12:00,
002385,1,7,15:17:00,
002386,3,8,10:09:00,
002387,2,9,18:23:00,
002388,2,10,10:21:00,
002389,3,8,20:25:00,
002390,1,6,17:39:00,
002391,2,6,20:46:00,
002392,1,7,16:07:00,
002393,2,9,20:41:00,
002394,2,11,10:48:00,
002395,3,7,17:43:00,
002396,2,7,13:12:00,
002397,3,10,13:36:00,
002398,2,6,17:02:00,
002399,2,3,13:42:00,
002400,2,9,21:03:00,
002401,2,3,10:03:00,
002402,1,2,17:11:00,
002403,2,10,14:48:00,
002404,2,9,13:00:00,
002405,3,3,18:06:00,
002406,1,3,21:40:00,
002407,2,8,17:38:00,
002408,1,9,10:17:00,
002409,3,8,15:00:00,
002410,1,5,21:13:00,
002411,1,5,10:39:00,
002412,2,10,18:05:00,
002413,3,3,21:07:00,
002414,3,6,20:43:00,
002415,2,4,13:12:00,
002416,1,9,09:31:00,
002417,3,11,11:26:00,
002418,1,7,10:27:00,
002419,2,5,15:05:00,
002420,3,9,14:50:00,
002421,3,10,20:12:00,
002422,2,5,21:03:00,
002423,1,3,18:09:00,
002424,3,3,17:09:00,
002425,1,9,09:49:00,
002426,3,10,18:32:00,
002427,3,2,11:49:00,
002428,1,4,20:49:00,
002429,3,10,21:50:00,
002430,1,2,19:06:00,
002431,2,11,12:15:00,
002432,3,9,10:35:00,
002433,1,9,11:24:00,
002434,1,2,17:49:00,
002435,1,5,12:22:00,
002436,3,8,10:15:00,
002437,1,3,15:33:00,
002438,3,10,21:44:00,
002439,1,7,15:37:00,
002440,1,7,13:21:00,
002441,2,9,21:43:00,
002442,3,10,16:26:00,
002443,2,8,09:06:00,
002444,3,3,15:42:00,
002445,3,6,14:11:00,
002446,1,10,16:09:00,
002447,2,10,18:26:00,
002448,2,10,10:28:00,
002449,2,3,18:08:00,
002450,3,10,09:11:00,
002451,2,10,11:41:00,
002452,2,11,10:38:00,
002453,1,7,09:42:00,
002454,3,3,15:11:00,
002455,1,7,13:25:00,
002456,1,11,15:46:00,
002457,2,5,16:33:00,
002458,2,5,21:29:00,
002459,2,2,12:44:00,
002460,3,3,17:12:00,
002461,3,5,18:48:00,
002462,1,6,18:29:00,
002463,3,9,19:23:00,
002464,1,9,16:17:00,
002465,2,7,17:41:00,
002466,1,4,14:12:00,
002467,2,6,14:27:00,
002468,3,6,13:12:00,
002469,3,2,21:11:00,
002470,3,6,12:12:00,
002471,3,7,12:48:00,
002472,3,11,19:49:00,
002473,3,10,21:25:00,
002474,2,7,19:36:00,
002475,2,8,13:29:00,
002476,1,11,18:05:00,
002477,1,11,15:44:00,
002478,2,3,11:50:00,
002479,1,4,12:45:00,
002480,1,7,19:20:00,
002481,1,2,20:30:00,
002482,3,11,14:19:00,
002483,3,10,19:25:00,
002484,3,4,18:09:00,
002485,1,5,12:00:00,
002486,1,4,09:26:00,
002487,1,10,15:10:00,
002488,3,4,10:08:00,
002489,1,10,15:35:00,
002490,3,11,19:01:00,
002491,1,4,20:26:00,
002492,1,11,12:35:00,
002493,2,6,10:03:00,
002494,2,9,14:38:00,
002495,2,11,18:44:00,
002496,3,11,09:32:00,
002497,3,9,19:37:00,
002498,2,6,13:43:00,
002499,1,6,12:08:00,
002500,2,8,16:43:00,
002501,2,4,20:30:00,
002502,2,2,14:35:00,
002503,1,2,19:28:00,
002504,2,5,15:25:00,
002505,1,5,17:30:00,
002506,1,8,11:15:00,
002507,1,4,11:37:00,
002508,3,2,16:40:00,
002509,3,2,17:15:00,
002510,1,10,17:27:00,
002511,3,7,12:45:00,
002512,1,3,14:25:00,
002513,1,5,17:26:00,
002514,1,9,09:10:00,
002515,3,3,11:16:00,
002516,3,4,15:44:00,
002517,2,4,10:03:00,
002518,3,4,10:50:00,
002519,3,4,14:21:00,
002520,3,3,15:42:00,
002521,1,2,09:10:00,
002522,3,3,20:29:00,
002523,2,10,17:49:00,
002524,1,7,14:05:00,
002525,1,10,09:29:00,
002526,2,11,15:44:00,
002527,3,2,16:29:00,
002528,1,2,15:46:00,
002529,1,3,17:22:00,
002530,2,7,16:42:00,
002531,2,7,13:37:00,
002532,3,7,17:15:00,
002533,3,3,17:44:00,
002534,3,5,21:19:00,
002535,3,8,16:07:00,
002536,1,5,13:32:00,
002537,1,11,20:06:00,
002538,2,6,09:30:00,
002539,2,9,10:10:00,
002540,3,5,11:29:00,
002541,1,2,18:13:00,
002542,3,8,10:25:00,
002543,2,8,16:48:00,
002544,1,2,18:17:00,
002545,3,9,19:44:00,
002546,1,5,18:42:00,
002547,3,5,15:09:00,
002548,1,6,19:38:00,
002549,3,11,12:44:00,
002550,2,9,21:35:00,
002551,3,6,21:16:00,
002552,3,8,10:30:00,
002553,2,9,20:28:00,
002554,1,6,16:36:00,
002555,1,10,20:26:00,
002556,1,8,18:14:00,
002557,1,8,12:36:00,
002558,1,2,18:40:00,
002559,3,3,11:23:00,
002560,1,5,12:13:00,
002561,3,9,11:35:00,
002562,1,11,17:04:00,
002563,1,5,21:50:00,
002564,3,8,18:25:00,
002565,3,6,12:05:00,
002566,1,6,13:29:00,
002567,2,6,14:20:00,
002568,2,5,17:43:00,
002569,2,2,17:32:00,
002570,3,10,19:08:00,
002571,1,9,14:29:00,
002572,1,11,20:13:00,
002573,2,6,18:06:00,
002574,2,11,15:26:00,
002575,1,2,09:47:00,
002576,1,6,12:25:00,
002577,1,5,11:09:00,
002578,3,10,21:06:00,
002579,2,8,16:42:00,
002580,2,10,20:29:00,
002581,1,8,21:08:00,
002582,2,7,14:15:00,
002583,3,11,21:48:00,
002584,1,11,17:39:00,
002585,3,8,09:07:00,
002586,1,7,14:35:00,
002587,1,7,11:41:00,
002588,1,2,09:43:00,
002589,1,7,18:36:00,
002590,3,5,14:29:00,
002591,3,4,16:40:00,
002592,1,2,11:20:00,
002593,1,11,15:14:00,
002594,3,10,12:17:00,
002595,3,5,11:33:00,
002596,1,8,21:37:00,
002597,1,7,09:37:00,
002598,2,11,21:25:00,
002599,2,10,18:26:00,
002600,3,4,11:16:00,
002601,1,8,18:46:00,
002602,3,3,13:06:00,
002603,2,7,16:19:00,
002604,1,5,17:22:00,
002605,1,4,21:08:00,
002606,3,3,14:41:00,
002607,1,3,12:49:00,
002608,2,7,16:32:00,
002609,3,2,12:49:00,
002610,2,3,13:00:00,
002611,1,6,09:00:00,
002612,3,4,18:13:00,
002613,3,2,20:41:00,
002614,3,8,21:26:00,
002615,2,3,10:50:00,
002616,3,5,12:12:00,
002617,3,4,20:47:00,
002618,3,11,16:03:00,
002619,1,8,21:49:00,
002620,2,10,20:42:00,
002621,3,10,16:05:00,
002622,1,8,16:06:00,
002623,3,7,18:49:00,
002624,2,8,10:33:00,
002625,3,2,14:23:00,
002626,1,11,14:12:00,
002627,2,11,15:03:00,
002628,1,6,17:01:00,
002629,1,4,16:30:00,
002630,1,3,11:02:00,
002631,3,3,20:10:00,
002632,3,4,19:19:00,
002633,1,6,12:45:00,
002634,2,7,15:24:00,
002635,3,11,21:04:00,
002636,1,3,12:27:00,
002637,1,5,15:29:00,
002638,2,5,15:34:00,
002639,1,11,18:03:00,
002640,2,9,11:07:00,
002641,1,11,19:19:00,
002642,3,3,21:26:00,
002643,2,2,16:12:00,
002644,3,11,13:23:00,
002645,2,4,19:01:00,
002646,1,2,14:14:00,
002647,1,6,13:29:00,
002648,1,3,12:08:00,
002649,1,7,09:01:00,
002650,1,3,14:38:00,
002651,2,2,15:50:00,
002652,2,9,21:19:00,
002653,2,5,11:47:00,
002654,2,11,14:45:00,
002655,2,10,10:31:00,
002656,2,2,10:36:00,
002657,2,10,17:07:00,
002658,3,8,12:15:00,
002659,3,5,14:08:00,
002660,1,8,09:08:00,
002661,3,6,19:42:00,
002662,2,2,17:31:00,
002663,3,8,12:33:00,
002664,1,4,14:33:00,
002665,2,2,15:05:00,
002666,3,11,12:35:00,
002667,3,2,11:44:00,
002668,3,7,16:33:00,
002669,3,2,13:00:00,
002670,2,6,11:19:00,
002671,3,2,17:12:00,
002672,3,11,19:19:00,
002673,3,2,19:45:00,
002674,2,9,13:01:00,
002675,3,3,21:17:00,
002676,1,8,18:43:00,
002677,3,11,10:24:00,
002678,1,9,20:30:00,
002679,3,3,11:50:00,
002680,2,9,11:07:00,
002681,3,5,14:27:00,
002682,1,9,21:43:00,
002683,1,5,16:23:00,
002684,2,6,21:17:00,
002685,3,11,11:25:00,
002686,3,7,21:06:00,
002687,2,6,10:32:00,
002688,2,6,21:48:00,
002689,1,11,18:23:00,
002690,1,3,10:34:00,
002691,3,4,18:49:00,
002692,1,4,14:19:00,
002693,2,2,19:17:00,
002694,1,10,21:31:00,
002695,2,8,17:30:00,
002696,2,4,17:02:00,
002697,2,6,12:08:00,
002698,3,11,17:49:00,
002699,1,8,09:36:00,
002700,1,5,18:25:00,
002701,3,4,11:17:00,
002702,1,7,15:14:00,
002703,2,3,11:38:00,
002704,2,5,18:00:00,
002705,1,10,20:01:00,
002706,2,9,17:31:00,
002707,1,6,16:45:00,
002708,2,11,13:28:00,
002709,2,9,14:05:00,
002710,3,5,09:13:00,
002711,2,9,11:00:00,
002712,2,7,12:42:00,
002713,1,8,21:36:00,
002714,2,8,10:05:00,
002715,2,11,09:46:00,
002716,1,8,19:27:00,
002717,3,5,20:03:00,
002718,3,3,12:07:00,
002719,3,8,15:34:00,
002720,2,11,14:00:00,
002721,1,9,11:19:00,
002722,3,7,19:48:00,
002723,3,3,19:00:00,
002724,3,10,21:38:00,
002725,3,4,11:32:00,
002726,3,10,11:01:00,
002727,1,11,13:16:00,
002728,3,9,21:38:00,
002729,2,11,21:01:00,
002730,1,6,14:17:00,
002731,3,9,11:07:00,
002732,2,11,15:25:00,
002733,1,8,15:27:00,
002734,2,9,13:45:00,
002735,3,10,11:02:00,
002736,2,4,21:28:00,
002737,1,2,18:27:00,
002738,3,10,16:00:00,
002739,2,4,15:07:00,
002740,2,7,17:00:00,
002741,3,7,21:15:00,
002742,1,5,12:41:00,
002743,2,9,14:10:00,
002744,2,6,11:07:00,
002745,2,5,13:06:00,
002746,2,5,21:18:00,
002747,3,11,15:41:00,
002748,1,3,21:20:00,
002749,1,2,11:09:00,
002750,1,7,18:46:00,
002751,3,9,21:20:00,
002752,2,4,21:47:00,
002753,3,10,11:00:00,
002754,1,6,14:40:00,
002755,1,4,17:41:00,
002756,3,9,16:02:00,
002757,1,9,15:32:00,
002758,3,5,14:38:00,
002759,3,7,09:44:00,
002760,1,3,09:02:00,
002761,3,8,20:27:00,
002762,3,5,13:39:00,
002763,3,9,13:36:00,
002764,2,3,18:36:00,
002765,3,6,18:11:00,
002766,2,4,20:23:00,
002767,2,7,15:05:00,
002768,3,10,21:21:00,
002769,3,11,19:47:00,
002770,3,4,21:11:00,
002771,3,3,09:05:00,
002772,1,11,09:33:00,
002773,1,7,15:22:00,
002774,3,8,10:39:00,
002775,3,4,17:32:00,
002776,3,9,15:17:00,
002777,2,2,16:00:00,
002778,2,11,10:20:00,
002779,3,3,14:28:00,
002780,3,3,17:14:00,
002781,3,4,11:24:00,
002782,2,6,20:45:00,
002783,1,4,20:29:00,
002784,2,2,18:18:00,
002785,3,6,12:29:00,
002786,3,11,10:00:00,
002787,1,3,13:30:00,
002788,2,11,17:18:00,
002789,2,3,11:34:00,
002790,1,8,19:05:00,
002791,3,10,12:27:00,
002792,3,4,11:21:00,
002793,2,10,21:06:00,
002794,2,8,18:50:00,
002795,2,2,13:34:00,
002796,1,9,14:13:00,
002797,1,11,21:22:00,
002798,3,7,10:45:00,
002799,1,8,10:46:00,
002800,2,3,13:33:00,
002801,1,7,15:50:00,
002802,1,2,13:24:00,
002803,3,2,13:11:00,
002804,3,11,18:36:00,
002805,2,6,17:22:00,
002806,2,7,18:22:00,
002807,1,9,12:10:00,
002808,2,3,12:31:00,
002809,1,7,15:22:00,
002810,2,6,10:06:00,
002811,2,4,14:28:00,
002812,2,9,13:05:00,
002813,1,7,18:32:00,
002814,2,9,18:00:00,
002815,2,8,19:26:00,
002816,3,9,19:01:00,
002817,3,7,21:29:00,
002818,2,2,12:46:00,
002819,2,9,13:33:00,
002820,2,5,14:40:00,
002821,2,2,09:03:00,
002822,3,6,09:31:00,
002823,3,2,20:33:00,
002824,3,4,20:49:00,
002825,3,3,16:15:00,
002826,1,11,09:36:00,
002827,1,11,11:01:00,
002828,3,3,13:50:00,
002829,3,10,16:17:00,
002830,2,3,09:20:00,
002831,1,4,21:36:00,
002832,1,3,16:13:00,
002833,3,5,11:48:00,
002834,2,11,16:46:00,
002835,1,5,13:44:00,
002836,3,3,15:26:00,
002837,2,7,18:07:00,
002838,1,6,09:33:00,
002839,3,11,14:08:00,
002840,3,9,21:22:00,
002841,1,7,21:02:00,
002842,2,2,20:24:00,
002843,2,4,20:42:00,
002844,3,2,13:20:00,
002845,3,10,11:07:00,
002846,3,5,13:17:00,
002847,1,9,19:40:00,
002848,1,2,19:08:00,
002849,3,3,12:22:00,
002850,1,9,10:03:00,
002851,3,9,13:07:00,
002852,1,10,18:43:00,
002853,1,11,09:17:00,
002854,3,10,20:41:00,
002855,3,11,13:37:00,
002856,3,3,21:06:00,
002857,2,5,21:27:00,
002858,3,5,11:37:00,
002859,3,4,12:39:00,
002860,1,8,20:49:00,
002861,1,5,14:23:00,
002862,2,2,12:18:00,
002863,1,10,17:32:00,
002864,1,7,11:16:00,
002865,1,6,10:04:00,
002866,3,3,17:10:00,
002867,2,7,10:42:00,
002868,3,5,17:46:00,
002869,1,11,11:23:00,
002870,2,2,16:11:00,
002871,1,9,20:45:00,
002872,1,9,12:15:00,
002873,1,6,12:22:00,
002874,2,9,16:48:00,
002875,3,7,21:29:00,
002876,3,11,17:09:00,
002877,2,2,16:00:00,
002878,2,7,10:35:00,
002879,2,2,14:11:00,
002880,1,7,20:03:00,
002881,3,2,09:14:00,
002882,1,2,10:47:00,
002883,2,5,11:48:00,
002884,2,7,13:04:00,
002885,3,11,10:12:00,
002886,2,2,13:06:00,
002887,3,5,13:50:00,
002888,3,11,21:48:00,
002889,1,10,17:13:00,
002890,1,4,20:12:00,
002891,2,10,16:30:00,
002892,2,3,10:36:00,
002893,1,4,21:36:00,
002894,3,8,14:19:00,
002895,2,8,09:11:00,
002896,3,6,11:15:00,
002897,3,11,13:31:00,
002898,3,5,16:04:00,
002899,3,5,11:38:00,
002900,3,3,21:26:00,
002901,2,8,19:30:00,
002902,3,4,10:18:00,
002903,2,11,13:04:00,
002904,3,6,09:02:00,
002905,1,8,12:27:00,
002906,2,6,20:11:00,
002907,1,7,18:18:00,
002908,1,8,15:47:00,
002909,2,6,13:22:00,
002910,3,6,21:24:00,
002911,3,10,11:10:00,
002912,2,6,16:06:00,
002913,3,10,12:43:00,
002914,3,5,15:02:00,
002915,3,5,18:12:00,
002916,3,4,12:16:00,
002917,3,3,12:20:00,
002918,1,9,09:03:00,
002919,3,8,17:34:00,
002920,3,9,13:36:00,
002921,1,6,11:17:00,
002922,2,10,15:00:00,
002923,3,4,19:18:00,
002924,1,10,09:27:00,
002925,1,11,11:30:00,
002926,1,4,10:41:00,
002927,1,9,18:34:00,
002928,1,6,18:13:00,
002929,2,2,13:25:00,
002930,1,11,11:38:00,
002931,2,11,16:03:00,
002932,3,2,16:29:00,
002933,2,2,11:24:00,
002934,2,9,17:23:00,
002935,2,11,11:21:00,
002936,2,2,14:15:00,
002937,2,11,15:32:00,
002938,3,3,10:10:00,
002939,1,4,20:09:00,
002940,3,6,15:12:00,
002941,3,9,11:33:00,
002942,3,8,11:24:00,
002943,3,6,14:34:00,
002944,1,4,18:18:00,
002945,2,7,16:18:00,
002946,1,5,21:16:00,
002947,2,5,13:13:00,
002948,2,10,14:31:00,
002949,2,4,12:33:00,
002950,1,7,20:36:00,
002951,3,6,19:07:00,
002952,1,10,20:23:00,
002953,2,7,20:37:00,
002954,3,4,19:08:00,
002955,3,10,16:35:00,
002956,2,6,15:22:00,
002957,3,6,14:38:00,
002958,3,8,16:45:00,
002959,2,6,10:23:00,
002960,1,9,09:01:00,
002961,2,5,12:03:00,
002962,1,11,21:45:00,
002963,2,2,14:39:00,
002964,3,5,18:27:00,
002965,1,6,15:41:00,
002966,3,9,17:17:00,
002967,3,3,09:03:00,
002968,2,7,13:45:00,
002969,2,7,21:22:00,
002970,3,10,19:41:00,
002971,3,7,09:47:00,
002972,3,5,13:21:00,
002973,3,6,17:47:00,
002974,1,11,20:22:00,
002975,2,11,14:20:00,
002976,1,7,15:47:00,
002977,1,3,21:17:00,
002978,1,8,11:38:00,
002979,2,7,09:19:00,
002980,3,11,18:33:00,
002981,1,10,10:45:00,
002982,1,10,17:01:00,
002983,3,10,21:09:00,
002984,2,6,11:34:00,
002985,1,2,16:18:00,
002986,1,11,18:27:00,
002987,1,5,17:29:00,
002988,2,4,10:41:00,
002989,3,6,18:16:00,
002990,2,9,16:46:00,
002991,2,10,15:21:00,
002992,3,4,19:43:00,
002993,2,3,20:45:00,
002994,1,9,20:37:00,
002995,1,4,13:00:00,
002996,2,6,09:00:00,
002997,1,5,18:31:00,
002998,1,4,17:30:00,
002999,3,2,18:30:00,
003000,2,4,17:48:00,
003001,2,6,10:30:00,
003002,3,4,17:15:00,
003003,2,11,09:30:00,
003004,1,4,13:47:00,
003005,2,7,15:48:00,
003006,2,3,14:43:00,
003007,1,4,11:21:00,
003008,2,6,09:28:00,
003009,3,5,18:00:00,
003010,2,11,15:27:00,
003011,1,9,14:40:00,
003012,2,5,14:00:00,
003013,1,9,09:22:00,
003014,1,6,14:20:00,
003015,1,8,09:13:00,
003016,2,8,21:46:00,
003017,2,5,20:35:00,
003018,1,3,20:09:00,
003019,2,6,15:16:00,
003020,3,2,14:10:00,
003021,2,6,17:47:00,
003022,2,3,17:27:00,
003023,3,8,14:14:00,
003024,3,9,11:28:00,
003025,2,11,20:18:00,
003026,2,9,09:25:00,
003027,3,8,18:08:00,
003028,1,4,17:24:00,
003029,1,5,18:42:00,
003030,3,5,11:33:00,
003031,3,2,13:49:00,
003032,3,8,11:19:00,
003033,2,4,20:20:00,
003034,3,3,09:08:00,
003035,1,6,20:26:00,
003036,3,10,11:20:00,
003037,3,8,19:11:00,
003038,3,2,15:48:00,
003039,2,3,11:01:00,
003040,3,2,19:43:00,
003041,1,6,10:27:00,
003042,3,2,10:22:00,
003043,3,6,10:25:00,
003044,3,2,18:09:00,
003045,1,11,16:49:00,
003046,1,3,13:21:00,
003047,2,8,17:21:00,
003048,3,8,18:08:00,
003049,1,10,11:41:00,
003050,1,7,16:41:00,
003051,1,9,16:45:00,
003052,1,3,21:05:00,
003053,1,8,17:15:00,
003054,2,6,16:23:00,
003055,1,5,19:03:00,
003056,1,9,12:22:00,
003057,1,8,13:20:00,
003058,1,3,09:07:00,
003059,3,9,13:04:00,
003060,3,3,10:18:00,
003061,3,3,10:06:00,
003062,2,7,21:26:00,
003063,2,11,16:21:00,
003064,3,10,19:33:00,
003065,2,5,09:02:00,
003066,3,11,10:35:00,
003067,3,8,11:20:00,
003068,2,6,12:38:00,
003069,3,5,15:15:00,
003070,2,11,17:04:00,
003071,3,8,13:49:00,
003072,3,6,17:32:00,
003073,1,9,11:12:00,
003074,1,4,10:05:00,
003075,3,9,19:13:00,
003076,3,4,11:41:00,
003077,3,5,10:49:00,
003078,2,8,14:06:00,
003079,2,3,21:48:00,
003080,2,2,15:48:00,
003081,3,4,12:08:00,
003082,3,4,15:44:00,
003083,1,10,12:27:00,
003084,2,7,14:41:00,
003085,2,10,10:29:00,
003086,1,5,16:03:00,
003087,1,11,13:17:00,
003088,1,3,11:02:00,
003089,1,7,11:39:00,
003090,2,2,12:41:00,
003091,2,7,13:30:00,
003092,1,10,16:07:00,
003093,1,11,15:38:00,
003094,1,10,09:34:00,
003095,2,8,09:32:00,
003096,3,6,18:00:00,
003097,1,3,18:29:00,
003098,3,5,14:36:00,
003099,3,9,11:34:00,
003100,3,3,14:10:00,
003101,1,6,11:09:00,
003102,1,10,16:17:00,
003103,3,6,20:13:00,
003104,1,10,20:12:00,
003105,3,3,16:17:00,
003106,1,2,13:18:00,
003107,3,3,21:23:00,
003108,1,3,15:21:00,
003109,3,3,11:11:00,
003110,3,2,15:39:00,
003111,3,8,11:27:00,
003112,1,6,14:15:00,
003113,3,4,21:42:00,
003114,1,7,10:16:00,
003115,1,9,10:17:00,
003116,1,3,19:41:00,
003117,2,4,09:30:00,
003118,3,2,14:18:00,
003119,2,4,15:01:00,
003120,1,5,16:17:00,
003121,2,7,12:08:00,
003122,2,6,13:26:00,
003123,2,6,19:23:00,
003124,3,11,10:15:00,
003125,2,4,12:04:00,
003126,1,6,10:32:00,
003127,2,5,13:22:00,
003128,2,9,12:17:00,
003129,2,5,20:06:00,
003130,2,11,11:26:00,
003131,3,7,13:28:00,
003132,1,6,18:20:00,
003133,2,11,20:44:00,
003134,3,8,18:12:00,
003135,2,7,16:34:00,
003136,2,11,20:12:00,
003137,3,4,11:48:00,
003138,1,2,15:17:00,
003139,3,9,15:06:00,
003140,1,6,19:32:00,
003141,2,9,11:10:00,
003142,2,9,17:06:00,
003143,1,3,12:32:00,
003144,2,3,19:46:00,
003145,1,11,10:03:00,
003146,3,9,10:27:00,
003147,2,4,17:12:00,
003148,1,11,18:43:00,
003149,1,4,16:00:00,
003150,2,9,21:25:00,
003151,3,6,14:24:00,
003152,2,8,15:24:00,
003153,2,8,12:05:00,
003154,1,2,09:20:00,
003155,2,4,11:16:00,
003156,2,8,18:27:00,
003157,3,11,21:27:00,
003158,3,7,10:25:00,
003159,1,7,16:25:00,
003160,2,3,17:23:00,
003161,2,8,09:45:00,
003162,1,7,14:31:00,
003163,1,11,18:28:00,
003164,3,7,17:09:00,
003165,2,4,18:11:00,
003166,2,9,12:19:00,
003167,2,11,19:43:00,
003168,1,4,12:21:00,
003169,1,10,18:44:00,
003170,1,6,09:18:00,
003171,2,3,17:29:00,
003172,2,10,13:14:00,
003173,3,11,12:25:00,
003174,2,9,09:27:00,
003175,1,11,09:31:00,
003176,2,7,20:42:00,
003177,3,7,13:32:00,
003178,3,3,14:25:00,
003179,3,2,14:26:00,
003180,3,8,14:31:00,
003181,2,6,11:46:00,
003182,3,7,19:28:00,
003183,1,2,15:32:00,
003184,3,10,11:25:00,
003185,3,8,16:36:00,
003186,2,7,17:25:00,
003187,1,6,18:22:00,
003188,3,9,11:41:00,
003189,2,6,12:38:00,
003190,1,3,12:34:00,
003191,1,9,16:00:00,
003192,2,6,12:50:00,
003193,2,11,16:31:00,
003194,3,10,13:07:00,
003195,2,2,13:26:00,
003196,1,5,18:01:00,
003197,3,6,14:43:00,
003198,3,11,11:32:00,
003199,1,8,09:46:00,
003200,1,5,21:45:00,
003201,2,2,18:25:00,
003202,1,8,21:22:00,
003203,2,8,13:02:00,
003204,1,11,14:02:00,
003205,3,7,20:49:00,
003206,2,11,20:12:00,
003207,3,5,20:26:00,
003208,3,5,16:46:00,
003209,2,11,11:01:00,
003210,3,5,20:20:00,
003211,3,9,11:28:00,
003212,1,6,17:11:00,
003213,3,9,18:14:00,
003214,1,11,12:13:00,
003215,3,11,16:32:00,
003216,2,11,19:14:00,
